id,pos,icon,type,name,fixed_attributes,source,describe,name_fragment,describe_fragment,source_fragment
int,int,varchar,int,varchar,varchar,varchar,varchar,varchar,varchar,varchar
cs,cs,c,cs,c,cs,c,c,c,c,c
序号(CS),套装位置(CS),图标(C),属于哪个套装(CS),该装备名字(C),固定的1-多条属性是哪个TPYE，对应装备成长表中的Type(CS),物品来源，1=普通关卡，2=每日关卡，3=挑战关卡，依次类推(C),描述(C),碎片名称(C),描述(C),物品来源，1=普通关卡，2=每日关卡，3=挑战关卡，依次类推(C)
1,1,icon_equip_10001,1,弥弥尔,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",头部饰品，似乎寄托着对什么人的怀念。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
2,1,icon_equip_20001,2,无辜果实,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",头饰，虽然看起来只是无辜的叶子，但也许未来孕育出的果实会令神都失态。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
3,1,icon_equip_30001,3,神巫之祝,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",戴于脑后的奇特面具，蕴藏着回忆里的祝福。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
4,1,icon_equip_40001,4,粉色蝴蝶结,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",曾经被用来改变声线的领结，后来因为洗褪色了，偶尔会故障发出嘤嘤嘤的奶声，所以现在被当作头饰。可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
5,1,icon_equip_50001,5,景华之簪,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",只有在春天才能佩戴的发饰，相传在其他季节会让头发结冰。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
6,1,icon_equip_60001,6,冬日软帽,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",天空之眼冬日制服帽，加入了比较多的„„设计师个人风格。可以组成通用制式-空 07 套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
7,1,icon_equip_70001,7,幸运发圈,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",为佩戴的头上点缀一点自然的色彩。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
8,1,icon_equip_80001,8,淑女的礼帽,{1},"{{1,10101},{1,10201},{2,101},{3,1001}}",传说只有真正的淑女才能戴上的帽子，掀起帽檐可以飞出鸽子。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
9,2,icon_equip_10002,1,古梣守护,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",内部刻有古梣树图案的衣服，没有过多的装饰，但却令人安心。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
10,2,icon_equip_20002,2,仁慈牝鹿,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",轻巧的服饰。牝鹿越过枯木，阳光唤醒大地——又是崭新的一天。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
11,2,icon_equip_30002,3,出云风月,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",繁复而传统的服饰，一如传闻中的天衣。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
12,2,icon_equip_40002,4,蜜糖少女裙,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",被可爱的女生穿上会发出粉色光芒的演唱服，曾经被某九人团体穿过。可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
13,2,icon_equip_50002,5,景华之袍,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",曾经被一位终身不婚的女性忍者忠爱，如果不扎上包子头就穿不上它。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
14,2,icon_equip_60002,6,奇异礼服,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",十分得体的礼服，材质也很奇特，作为冬日制服很暖和。可以组成通用制式-空 07 套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
15,2,icon_equip_70002,7,阿菠萝之裙,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",造型前卫的女性长裙，曾经被误认为是太阳神的设计，却被坚定地否认了。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
16,2,icon_equip_80002,8,夜之礼服,{2},"{{1,10101},{1,10201},{2,101},{3,1001}}",散发巧克力芳香的礼服，无论怎么洗都有甜食的味道。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
17,3,icon_equip_10003,1,凝泉之涌,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",用不知名的材质制作的袜子，柔软冰凉，穿上它总是能迅速获得清醒。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
18,3,icon_equip_20003,2,海之花,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",材质很好的袜子，穿着它能感受到浪花正亲吻着脚背。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
19,3,icon_equip_30003,3,本坪铃,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",没有铃铛却能发出声响的短袜，有种微妙的违和感。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
20,3,icon_equip_40003,4,粉色兔兔袜,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",穿上它就可以跑得比越野还要快！可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
21,3,icon_equip_50003,5,踏雪之袜,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",可以穿着在雪地里撒野的长袜，但是要注意保暖。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
22,3,icon_equip_60003,6,发热喵喵袜,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",和礼服搭配的长筒袜，设计师风格很重，同样很暖和。可以组成通用制式-空 07套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
23,3,icon_equip_70003,7,荡漾之袜,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",穿着它走在草丛里，你就是草丛。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
24,3,icon_equip_80003,8,夜之长袜,{3},"{{1,10101},{1,10201},{2,101},{3,1001}}",穿上之后可以蹬踏星空，但是超过 800米就会掉下来，所以要背好降落伞。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
25,4,icon_equip_10004,1,命运之羽,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",轻盈的鞋子，命运总能带着你前往意想不到之处。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
26,4,icon_equip_20004,2,无暇护佑,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",没有多余装饰的鞋子，纯洁的白色为着胜利而祈祷。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
27,4,icon_equip_30004,3,赤枫屐,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",有着铃铛走起来却悄无声息的木屐，样式简单，功能神秘。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
28,4,icon_equip_40004,4,普通人之鞋,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",不知道为什么褪去了粉色并没有被开除套装籍的普通的鞋子，可以用来拍蟑螂，很准。可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
29,4,icon_equip_50004,5,景华之鞋,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",充满喜庆气息的女性靴，防水性很好，可以在里面养小乌龟。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
30,4,icon_equip_60004,6,“跑得快”,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",穿上去就跑得很快的鞋。但由于测试者是赫尔墨斯，所以不知道这个效果是否可信。可以组成通用制式-空 07 套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
31,4,icon_equip_70004,7,沙拉丽靴,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",配合千岛酱更好吃更健康。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
32,4,icon_equip_80004,8,迷夜高跟鞋,{4},"{{1,10101},{1,10201},{2,101},{3,1001}}",某个童话故事中最初被女主角选上的鞋子，后来被一双心机很重的玻璃鞋抢了C 位。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
33,5,icon_equip_10005,1,希尔的晚风,{5},"{{1,10101},{1,10201},{2,101},{3,1001}}",优雅的耳饰，晃动时仿佛能感受到晚风拂过希尔之森。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
34,5,icon_equip_20005,2,神赐,{5},"{{1,10101},{1,10201},{2,101},{3,1001}}",热烈但脆弱的耳饰，正如一时兴起又很快消失的神恩。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
35,5,icon_equip_30005,3,樱日和,{5},"{{1,10101},{1,10201},{2,101},{3,1001}}",耳饰，戴上它就能听见樱花飘落的声音。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
36,5,icon_equip_40005,4,爱心耳饰,{5},"{{1,10101},{1,10201},{2,101},{3,1001}}",会带给女孩子甜甜魅力的可爱耳饰，男孩子理论上也行。可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
37,5,icon_equip_50005,5,景华之环,{5},"{{1,10101},{1,10201},{2,101},{3,1001}}",点缀着此世珍宝的古典环饰，能够给人带来爱情。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
38,5,icon_equip_60005,6,通讯蝶,{5},"{{1,10101},{1,10201},{2,101},{3,1001}}",伪装成蝴蝶结耳钉的通讯器，可爱而且实用。可以组成通用制式-空 07 套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
39,5,icon_equip_70005,7,碧瓣之心,{5},"{{1,10101},{1,10201},{2,101},{3,1001}}",散发着自然气息的女性头饰，在夏季成为著名的爆款而被人津津乐道。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
40,5,icon_equip_80005,8,夜之守护,{5},"{{1,10101},{1,10201},{2,101},{3,1001}}",一横一竖造型简单的耳饰，传说戴着它的人可以获得好运。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
41,6,icon_equip_10006,1,爱与槲寄生,{6},"{{1,10101},{1,10201},{2,101},{3,1001}}",寄托着爱意的颈饰，但爱与恨、善与恶总是相伴。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
42,6,icon_equip_20006,2,子夜木马,{6},"{{1,10101},{1,10201},{2,101},{3,1001}}",意义不明的项链。太阳会在子夜升起吗？升起的又是谁的太阳呢？可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
43,6,icon_equip_30006,3,长夏,{6},"{{1,10101},{1,10201},{2,101},{3,1001}}",贵重且正式的颈饰。宝石宛如夏日之心脏，色泽鲜艳。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
44,6,icon_equip_40006,4,甜蜜项链,{6},"{{1,10101},{1,10201},{2,101},{3,1001}}",在珍珠上打上蝴蝶结是时下最时髦的创意！可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
45,6,icon_equip_50006,5,景华之结,{6},"{{1,10101},{1,10201},{2,101},{3,1001}}",可以用来积蓄力量，等到需要时一次性使出。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
46,6,icon_equip_60006,6,茸茸围巾,{6},"{{1,10101},{1,10201},{2,101},{3,1001}}",守护你的脖颈健康，并且防止着凉感冒。可以组成通用制式-空 07 套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
47,6,icon_equip_70006,7,祖母绿之链,{6},"{{1,10101},{1,10201},{2,101},{3,1001}}",传说与东方森林中的碧叶同色的宝石，尽管有很多赝品，但其中焕发的璀璨绿光无法骗人。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
48,6,icon_equip_80006,8,迷夜之恋,{6},"{{1,10101},{1,10201},{2,101},{3,1001}}",曾经在贵族小姐间很流行的长款颈饰，后来被不知名的人用来擦嘴后，就很少有人戴了。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
49,7,icon_equip_10007,1,光耀,{7},"{{1,10101},{1,10201},{2,101},{3,1001}}",闪耀着光芒的手链，如同夏日正午的阳光般热烈。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
50,7,icon_equip_20007,2,坚贞誓言,{7},"{{1,10101},{1,10201},{2,101},{3,1001}}",朴素而坚定的戒指，看上去足以历经风雨。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
51,7,icon_equip_30007,3,朱红之约,{7},"{{1,10101},{1,10201},{2,101},{3,1001}}",双手手链。红绳捆绑住的也许是命运。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
52,7,icon_equip_40007,4,蜜糖之钥,{7},"{{1,10101},{1,10201},{2,101},{3,1001}}",曾经有女孩子用它打开过爱慕之心的人，因此成就了一段甜蜜的恋情，现在它三元一把，十元三把。可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
53,7,icon_equip_50007,5,景华之挂,{7},"{{1,10101},{1,10201},{2,101},{3,1001}}",挂在胸前可以抵挡一次致命攻击，用过之后反过来，可以抵挡第二次。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
54,7,icon_equip_60007,6,安心护腕,{7},"{{1,10101},{1,10201},{2,101},{3,1001}}",很不错的护腕，冬日制服里最受欢迎的单品。可以组成通用制式-空 07 套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
55,7,icon_equip_70007,7,宽恕草环,{7},"{{1,10101},{1,10201},{2,101},{3,1001}}",为爱人戴上宽恕草环，没有什么过不去的坎。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
56,7,icon_equip_80007,8,星夜手环,{7},"{{1,10101},{1,10201},{2,101},{3,1001}}",装有星星装饰的手环，走路会发生叮铃铃的声响，真的很好听。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
57,8,icon_equip_10008,1,鹰吻,{8},"{{1,10101},{1,10201},{2,101},{3,1001}}",红宝石戒指，拥有神秘的力量。可以组成瓦尔哈拉套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
58,8,icon_equip_20008,2,无声背叛,{8},"{{1,10101},{1,10201},{2,101},{3,1001}}",表面上没有瑕疵的戒指，但裂痕总在看不见的地方蔓延。可以组成特洛伊套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
59,8,icon_equip_30008,3,贝海,{8},"{{1,10101},{1,10201},{2,101},{3,1001}}",远古生物的贝壳做成的戒指。颜色十分特别，也许曾有过红色的海。可以组成高天原套装 。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
60,8,icon_equip_40008,4,糖果之戒,{8},"{{1,10101},{1,10201},{2,101},{3,1001}}",代表少女甜美梦想的戒指，每一只都通往一座糖果铸造的童话城堡，生产它的人是这么说的。可以组成蜜糖猫箱套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
61,8,icon_equip_50008,5,景华雪莲,{8},"{{1,10101},{1,10201},{2,101},{3,1001}}",曾经被某位神祗用来当坐骑，现在大多被做成莲子汤，记得去芯加糖。可以组成景华之春套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
62,8,icon_equip_60008,6,核心晶体β,{8},"{{1,10101},{1,10201},{2,101},{3,1001}}",核心晶体β做成的戒指，用途神秘，但大国主坚称很有用。可以组成通用制式-空 07 套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
63,8,icon_equip_70008,7,夏日彩戒,{8},"{{1,10101},{1,10201},{2,101},{3,1001}}",折射五彩阳光的翡翠钻戒，钻木取火时能大大提高效率。可以组成幸运夏日套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
64,8,icon_equip_80008,8,夜之誓约,{8},"{{1,10101},{1,10201},{2,101},{3,1001}}",曾经用来纪念一段唯美的爱情，后来变成了糟糕的伦理剧后，这件配饰也推出了自然款。可以组成迷雾之夜套装。,奥西里斯碎片,花人民币买的,"{{1,10101},{1,10201},{2,101},{3,1001}}"
