id,define,desc,note
int,varchar,varchar,varchar
c,c,c,n
序号(C),宏(EXTRA)(C),提示(C),注释(N)
0,SUCCESS,成功,成功
1,ERROR_INVALID_OPERATION,无效操作,无效操作
2,ERROR_NO_TEMPLATE,缺少配置,缺少配置
3,ERROR_TIME_OUT,超时,超时
4,ERROR_NOT_TIME,时间未到,时间未到
5,ERROR_MAX_LV,已达到最大等级,已达到最大等级
6,ERROR_MAX_NUMBER,已达到最大数量,已达到最大数量
7,ERROR_COMPLETED,已经完成,已经完成
8,ERROR_UNDEFINED_ARG,未定义参数,未定义参数
9,ERROR_BAD_ARG,错误参数,错误参数
10,ERROR_BAG_FULL,栏位已满,栏位已满
11,ERROR_DATABASE,数据库错误,数据库错误
12,ERROR_SERVER,系统异常,系统异常
13,ERROR_LOGIN_FORBIDDEN,禁止登录,禁止登录
14,ERROR_BAD_TEMPLATE,配置错误,配置错误
15,ERROR_REGISTER_MAX,注册达到最大人数,注册达到最大人数
16,ERROR_USED,已被使用,已被使用
17,ERROR_ACCOUNT_LOGIN_FORBIDDEN,封号,封号
18,ERROR_DB_BUSY,数据库繁忙,数据库繁忙
19,ERROR_NO_DATA,数据不存在,数据不存在
20,ERROR_LIMITE,不合法限制条件,不合法限制条件
21,ERROR_LV_LIMITE,等级不符合,等级不符合
22,ERROR_TYPE_LIMITE,类型不符合,类型不符合
23,ERROR_NET_DATA_INCOMPLETE,网络数据不完整,网络数据不完整
24,ERROR_NET_DATA_ILLEGAL,网络数据不合法（格式什么跟约定不符）,网络数据不合法（格式什么跟约定不符）
25,ERROR_NET_DATA_INVALID,网络数据无效（对应内容虽然支持但是当前不允许）,网络数据无效（对应内容虽然支持但是当前不允许）
26,ERROR_IP_BLOCK,网络请求无效（IP屏蔽）,网络请求无效（IP屏蔽）
27,ERROR_PROC_NOT_ALIVE,进程不存在,进程不存在
28,ERROR_PROC_CALL_EXCEPTION,进程call失败（可能跨节点通信问题，节点死亡，目标进程死亡中等可能情况）,进程call失败（可能跨节点通信问题，节点死亡，目标进程死亡中等可能情况）
29,ERROR_WRONG_PASSWORD,登陆密码错误,登陆密码错误
100,ERROR_NOT_ENOUGH_RESOURCE,资源不足,资源不足
101,ERROR_NOT_ENOUGH_GOLD,金币不足,金币不足
102,ERROR_NOT_ENOUGH_DIAMOND,钻石不足,钻石不足
103,ERROR_NOT_ENOUGH_HERO_PIECE,英雄碎片不足,英雄碎片不足
104,ERROR_NOT_ENOUGH_YOBI_FU,呼符不足,呼符不足
105,ERROR_NOT_ENOUGH_FRIENDSHIP_POINT,友情点不足,友情点不足
106,ERROR_GOLD_OVER_LIMIT,金币超出持有数量限制,金币超出持有数量限制
107,ERROR_GOLD_TO_DIAMOND_TIMES_OVER_LIMIT,购买金币次数超出限制,购买金币次数超出限制
108,ERROR_NO_CURRENCY,没有货币,没有货币
109,ERROR_CURRENCY_OVER_LIMIT,某种货币超出限制,某种货币超出限制
110,ERROR_NO_ENOUGH_CURRENCY,货币不足,货币不足
111,ERROR_NOT_ENOUGH_FATIGUE,体力不足,体力不足
112,ERROR_NOT_SELECTED_HERO,未选择出击角色,未选择出击角色
200,ERROR_CANT_FIND_FRIEND,无法找到好友,无法找到好友
201,ERROR_CANT_FIND_USER,无法找到玩家,无法找到玩家
202,ERROR_EXIST_FRIEND,已存在好友,已存在好友
203,ERROR_EXIST_BLACK,已存在黑名单,已存在黑名单
204,ERROR_CANT_FIND_BLACK,黑名单中找不到此玩家,黑名单中找不到此玩家
205,ERROR_REQUEST_SWITCH_OFF,此玩家关闭开关 不允许接收邀请,此玩家关闭开关 不允许接收邀请
206,ERROR_IN_BLACK_NOW,被目标玩家拉黑,被目标玩家拉黑
207,ERROR_FRIEND_NUM_LIMIT_ME,（自身）玩家好友数量已达上限,（自身）玩家好友数量已达上限
208,ERROR_EXIST_REQUEST,已向此人发送过好友申请,已向此人发送过好友申请
209,ERROR_FRIEND_NUM_LIMIT_TARGET,（对方）玩家好友数量已达上限,（对方）玩家好友数量已达上限
210,ERROR_EXIST_BLACK_ME,（自己）存在对方的黑名单中,（自己）存在对方的黑名单中
211,ERROR_NOT_EXIST_REQUEST,(对方)不在自己的好友申请者列表中,(对方)不在自己的好友申请者列表中
212,ERROR_BLACK_NUM_LIMIT,黑名单人数已达上限,黑名单人数已达上限
213,ERROR_REQUEST_NUM_LIMIT,(对方)可接收的好友申请数达到上限,(对方)可接收的好友申请数达到上限
300,ERROR_NOT_EXIST_LINK,链接不存在,链接不存在
400,ERROR_ITEM_NOT_AVAILABLE,道具不可购买,道具不可购买
401,ERROR_ITEM_OFF_SELL,道具已下架,道具已下架
402,ERROR_SHOP_NOT_FOUND,未找到相应商店,未找到相应商店
403,ERROR_SHOP_REFRESH_TIMES_LIMIT,商店手动刷新次数达到上限,商店手动刷新次数达到上限
404,ERROR_BUY_TIMES_LIMIT,购买次数已达上限,购买次数已达上限
500,ERROR_GUILD_CREATE_FAILED,工会创建失败,工会创建失败
501,ERROR_EXIST_APPLY,加入申请已提交,加入申请已提交
502,ERROR_IS_GUILD_MEMBER,已加入工会,已加入工会
503,ERROR_NOT_GUILD_MEMBER,未加入工会,未加入工会
504,ERROR_AUTHORITY_NOT_ENOUGH,权限不足,权限不足
505,ERROR_NOT_APPLY,未找到加入申请,未找到加入申请
506,ERROR_GUILD_OPERATION_CONFLICT,与当前逻辑矛盾的操作（例如本应是同意加入工会的操作，结果却使得人物退出了工会）,与当前逻辑矛盾的操作（例如本应是同意加入工会的操作，结果却使得人物退出了工会）
507,ERROR_SKIP_OPERATION,跳过该操作,跳过该操作
508,ERROR_GUILD_LOCK_FALIED,同步上锁操作失败,同步上锁操作失败
509,ERROR_WISH_SHORT_INTERVALS,许愿间隔太短,许愿间隔太短
510,ERROR_DONATION_NOT_EXIST,捐赠不存在,捐赠不存在
511,ERROR_NOT_GET_ALL_DONATION,许愿时还有未领取的捐赠,许愿时还有未领取的捐赠
512,ERROR_DONATED_TIMES_OVERLIMIT,被捐赠次数过多,被捐赠次数过多
513,ERROR_LEAVE_GUILD_TIME_LIMIT,距离离开公会时间太短,距离离开公会时间太短
514,ERROR_ENTER_GUILD_TIME_LIMIT,距离加入公会时间太短,距离加入公会时间太短
515,ERROR_IMPEACH_TIME_LIMIT,距离会长上次上线时间太短，,无法弹劾
516,ERROR_IMPEACH_EXIST,已经开始弹劾,已经开始弹劾
517,ERROR_NOT_ACCEDER,在弹劾结束的时候只有会长一个人，没有能担任会长的其它玩家，弹劾失败,在弹劾结束的时候只有会长一个人，没有能担任会长的其它玩家，弹劾失败
600,ERROR_ACHIEVEMENT_REWARD_GOT,已经领取过该成就奖励,已经领取过该成就奖励
601,ERROR_ACHIEVEMENT_IS_LOCKED,成就未解锁,成就未解锁
700,ERROR_HERO_NOT_UNLOCK,英雄未解锁,英雄未解锁
800,ERROR_NO_EQUIP,无装备,无装备
801,ERROR_EQUIP_LOCK,用于消耗的装备已经锁定,用于消耗的装备已经锁定
900,ERROR_NO_MATERIAL,无材料,无材料
901,ERROR_NO_ENOUGH_MATERIAL,材料不足,材料不足
1010,ERROR_ACCOUNT,账号错误,账号错误
1011,ERROR_ACCOUNT_EXIST,账号已存在,账号已存在
1012,ERROR_NAME_INTEGER_ONLY,纯数字账号,纯数字账号
1020,ERROR_PASSWORD,密码错误,密码错误
1030,ERROR_MD5,md5验证错误,md5验证错误
1031,ERROR_MD5_LENGTH,md5长度错误,md5长度错误
1040,ERROR_SERVER_CLOSE,服务器已关闭,服务器已关闭
2010,ERROR_NAME,名字检查错误,名字检查错误
2011,ERROR_NAME_TOO_LANG,名字过长,名字过长
2012,ERROR_NAME_TOO_SHORT,名字过短,名字过短
2013,ERROR_NAME_VER_WORD,名字有屏蔽词,名字有屏蔽词
2014,ERROR_NAME_BAD_WORD,名字错误字符,名字错误字符
2015,ERROR_NAME_EXIST,名字已被使用,名字已被使用
2100,ERROR_NO_MAIL,邮件不存在,邮件不存在
3000,ERROR_CHAPTER_NOT_UNLOCKED,此章未解锁,此章未解锁
3001,ERROR_SECTION_NOT_UNLOCKED,此节未解锁,此节未解锁
3002,ERROR_CAN_NOT_GET_STARS_REWARD,不能获取相应的星数奖励,不能获取相应的星数奖励
3003,ERROR_ALREADY_GET_STARS_REWARD,已经领取过星数奖励,已经领取过星数奖励
3500,ERROR_DAILYBATTLE_NOT_UNLOCKED,此日常本未解锁,此日常本未解锁
4000,ERROR_USER_LEVEL_LIMIT,玩家等级不足,玩家等级不足
5000,ERROR_ENTER_ROOM_FAILED,战斗测试进入房间失败,战斗测试进入房间失败
5001,ERROR_BATTLE_TEST_UNDEFINE_ARG,战斗测试房间收到了未定义的参数,战斗测试房间收到了未定义的参数
5002,ERROR_BATTLE_TEST_QUIT_FAILED,战斗测试退出房间失败,战斗测试退出房间失败
5003,ERROR_IS_IN_BATTLE,战斗测试已经在战斗了还尝试开始战斗,战斗测试已经在战斗了还尝试开始战斗
5004,ERROR_NO_IN_BATTLE,战斗测试不在战斗中尝试退出战斗,战斗测试不在战斗中尝试退出战斗
6000,ERROR_USER_ALREADY_HAS_CLUB,玩家已加入了社团,玩家已加入了社团
6001,ERROR_USER_NOT_JOIN_CLUB,玩家未加入社团,玩家未加入社团
6002,ERROR_CLUB_RECEIVE_REQUEST_MAX,社团可以接收的申请已达到最大,社团可以接收的申请已达到最大
6003,ERROR_USER_REQUEST_JOIN_MAX,玩家可以发出的加入社团申请已达到最大,玩家可以发出的加入社团申请已达到最大
6004,ERROR_USER_RECEIVE_INVITES_MAX,玩家可以接收的加入社团邀请已经达到最大,玩家可以接收的加入社团邀请已经达到最大
6005,ERROR_CLUB_MEMBER_FULL,社团成员已满,社团成员已满
6006,ERROR_CLUB_NAME_EXIST,社团名已经存在 不能重复创建,社团名已经存在 不能重复创建
6007,ERROR_CLUB_ONLY_LEADERS_CMD,此操作仅团长和副团长能够进行,此操作仅团长和副团长能够进行
6008,ERROR_NOT_IN_SAME_CLUB,不在同一社团中,不在同一社团中
6009,ERROR_CLUB_INVITER_ID_NOT_EXIST,此邀请者id在（被邀请者）数据中不存在,此邀请者id在（被邀请者）数据中不存在
6010,ERROR_ALLOW_INVITE_SWITCH_OFF,此玩家允许邀请开关关闭,此玩家允许邀请开关关闭
6011,ERROR_VICE_CHAIRMAN_NUM_LIMIT,副主席数量限制,副主席数量限制
6012,ERROR_ONLY_CHAIRMAN,仅团长能进行此操作,仅团长能进行此操作
6013,ERROR_CLUB_MEMBER_SIGNED_TODAY,此成员今日已签到,此成员今日已签到
6014,ERROR_CLUB_POPULARITY_NOT_ENOUGH,社团人气值不足,社团人气值不足
6015,ERROR_CLUB_DEBTS_DAYS_LIMIT,超过了允许拖欠维护费用的天数,超过了允许拖欠维护费用的天数
6016,ERROR_CLUB_CONTRIBUTION_NOT_ENOUGH,社团建设度不足,社团建设度不足
6017,ERROR_CLUB_REQUEST_TWICE,已申请过该社团 不能重复申请,已申请过该社团 不能重复申请
6018,ERROR_CLUB_NOT_SIGN_EXTRA_TIME,特殊签到时间未到,特殊签到时间未到
6019,ERROR_CLUB_OVER_SIGN_EXTRA_TIME,特殊签到时间已过,特殊签到时间已过
6020,ERROR_CLUB_ALREADY_SIGN_TWICE,两次签到均已签过,两次签到均已签过
7000,ERROR_DELEGATION_HERO_BUSY,英雄很忙（已在委托中）,英雄很忙（已在委托中）
7001,ERROR_DELEGATION_MAX,已达到最大委托数,已达到最大委托数
7002,ERROR_TECHNOLOGY_UNLOCK_CONDITION_NOT_MATCH,科技解锁条件不满足,科技解锁条件不满足
9999,ERROR_UNDEFINED,未定义错误,未定义错误
50001,REFRESH_FAIL_ON_TIME,定时刷新失败,定时刷新失败
50002,REFRESH_SUCCESS_ON_TIME,商店刷新成功,商店刷新成功
50003,LACK_DIAMOND,钻石不足,钻石不足
50004,UNDEFINED_ERROR,未知错误,未知错误
50005,OUT_OF_STOCK,断货啦断货啦,断货啦断货啦
50006,LACK_CURRENCY,货币不足,货币不足
50007,TRANSACTION_SUCCESS,购买成功,购买成功
50008,TRANSACTION_UP_TO_LIMIT,交易次数到达上限,交易次数到达上限
50009,GOOD_NOT_EXIST,商品不存在,商品不存在
51001,LACK_TALENT_TO_CHANGE,没有可以替换的星盘,没有可以替换的星盘
51002,TALENT_SUIT_ACTIVE,套装激活,星盘套装激活
52001,NOTE_NO_DEATH,不死亡,不死亡
52002,NOTE_TIME_LIMIT_PASS,%s秒内通关,限时通关
52003,NOTE_DODGE,完成%s次极限闪避,完成极限闪避
52004,NOTE_HIT,受击数不超过%s,受击数不超过
52005,NOTE_DESTROY,击破%s号部位,击破部位
60001,SECTION_DROP,关卡掉落,关卡掉落
60002,DAY_DROP,每日掉落,每日掉落
60003,CHALLENGE_DROP,挑战掉落,挑战掉落
60004,HARDLEVEL_EASY,简单,简单
60005,HARDLEVEL_HARD,困难,困难
60006,HARDLEVEL_NIGHTMARE,噩梦,噩梦
60007,ATTACK,攻击,攻击
60008,HP,生命,生命
60009,ARM,防御,防御
60010,CRIT,暴击,暴击
60011,CRIT_DAMAGE,暴伤,暴伤
60012,SPEED,移速,移速
60013,COOL_DOWN,冷却减少,冷却减少
60014,CRIT_DAMAGE_FULL,暴击伤害,暴击伤害
60015,ARM_RAISE,防御增加,防御增加
60016,HP_RAISE,生命增加,生命增加
60017,ATTACK_REDUCE,普通伤害减免,普通伤害减免
60018,ATTACK_RAISE,普通伤害加成,普通伤害加成
60019,CRIT_DAMAGE_REDUCE,暴击伤害减免,暴击伤害减免
60020,CRIT_DAMAGE_RAISE,暴击伤害加成,暴击伤害加成
60021,SKILL_DAMAGE_RAISE,技能伤害减免,技能伤害减免
60022,SKILL_DAMAGE_REDUCE,技能伤害加成,技能伤害加成
60023,LIMIT_DODGE_COOL_DOWN,极限闪避冷却缩减,极限闪避冷却缩减
60024,DIZZY_TIME_REDUCE,昏迷时间缩短,昏迷时间缩短
60025,BLANK,,
60026,ALL,全部,全部
60027,ACHIEVEMENT,成就,成就
60028,GROUPTH,成长,成长
60029,TRAIN,养成,养成
60030,COLLECT,收集,收集
60031,SECTION,关卡,关卡
60032,SOCIETY,社交,社交
60033,SPECIAL,特殊,特殊
60034,DAILY_TASK,日常,日常
60035,WEEKLY_TASK,周常,周常
60036,ERROR_HERO_ONE_NOT_IN,没有选择主英雄,没有选择主英雄
60037,HARDLEVEL,难度,难度
60038,LACK_STAR,需要%s颗星,星数不足
60039,LACK_LEFT_TIMES,挑战次数不足,挑战次数不足
60040,LEVEL_OPEN_REASON,通关%s难度“%s”后开放,通关难度后开放
60041,GET_S_HERO,<color=#00d2ff>%s</color>通过招募获得<color=#ffb401>S级神娘%s</color>,
60042,UPDATE_HERO_MAX,<color=#00d2ff>%s</color>将<color=#ffb401>%s</color>升至满星,
60043,INPUT_CHAT_CONTENT,输入内容不能为空,
60044,MUST_GREATER_THAN_5,需要等级大于5,
60045,CANNOT_SEND_SAME_MESSAGE,无法发送相同的内容,
60046,SYSTEM,<color=#ff4949>系统</color>,
60047,PROMPT,提示,
60048,SEND_FRIEND_MESSAGE_ERROR,对方处于离线状态，无法发送消息,
60049,SEND_SOCIETY_MESSAGE_ERROR,当前未加入任何社团无法使用该频道，是否寻找加入一个新的社团,
60050,SORT_LEVEL,等级,等级
60051,SORT_RARE,稀有度,稀有度
60052,SORT_ID,入手顺序,入手顺序
60053,DIAMOND_SHORTAGE,钻石不足，是否前往商店购买？,
60054,TRANSFER_POST,请先转让团长 ,
60055,EXIT_GUILD,确认退出社团？,
60056,GUILD_NEED_NAME,社团名不能为空,
60057,NO_HAVE_GUILD,未加入社团,
60058,CURRENT_SHOW,当前展示,
60059,IS_IN_SHOW,展示中,
60060,NO_ENOUGH_ITEM,道具不足,
60061,IS_GO_TO_SHOP,是否前往商城购买,
60062,CHANGE_NAME_COST_ITEM,"更名需要消耗<color=#%s>%s %d/1</color>,且30天内不允许再次修改",
60063,REMAINING_TIME,剩余时间:%s,
60064,NOT_PERMISSION,没有权限 ,
60065,GIVE_UP_COMMISSION,确认放弃此次调查委托？,
60066,GIVE_UP_BATTLE,是否退出战斗,
60067,NO_SKILL,暂无技能,
60068,NO_EQUIP_SUIT_EFFECT,暂无装备套装效果,
60069,NO_ASTRALABE_SUIT_EFFECT,暂无星盘套装效果,
60070,PLEASE_SELECT_ITEM,请选择强化材料,
60071,EQUIP_IS_USING,该装备正在被<color=#1d53d0>%s</color>使用，继续使用将会从原始人物身上卸下，是否确认更换,
60072,NEED_TO_COST_ITEM,需要花费%d个%s，是否确定？,
60073,CURRENT_HAVE_ITEM,(当前持有%s%d),
60074,ITEM_NO_ENOUGH,%s不足，是否花费%d钻石购买%d个%s？,
60075,DAY,天,
60076,HOUR,小时,
60077,MINUTE,分钟,
60078,SECOND,秒,
60079,TIME_OUT,已超时,
60080,CANNOT_CONNECT_CHECK,无法连接到服务器，请检查网络，再点击确定,
60081,CANNOT_CONNECT_QUIT,无法连接到服务器，点击确定退出游戏,
60082,DATA_ERROR_TO_LOGIN,数据异常，是否重新登录,
60083,BEFORE,前,
60084,ONLINE,在线,
60085,FRIEND_DELETE,删除好友,
60086,FRIEND_MOVE_TO_BLACLIST,移动至黑名单,
60087,FRIEND_DELETE_QUEST,确定要将<color=yellow>%s</color>从好友列表中删除？,
60088,FRIEND_DELETE_NOTE,已将<color=yellow>%s</color>从好友列表中删除。,
60089,FRIEND_MOVE_TO_BLACLIST_QUEST,确定要将<color=yellow>%s</color>移动至<color=red>黑名单</color>？,
60090,FRIEND_MOVE_TO_BLACLIST_NOTE,已将<color=yellow>%s</color>移动至<color=red>黑名单</color>。,
60091,FRIEND_MOVE_TO_BLACLIST_NOTE_LIMIT,你的黑名单已达上限，无法继续添加。,
60092,NOT_ENTER_NICK_UID,请输入角色昵称或UID,
60093,FRIEND_APPLY_REJECT,你已拒绝该申请。,
60094,FRIEND_APPLY_SEND,你的好友申请已发送。,
60095,FRIEND_MAKE_SUCCESS,成功添加<color=yellow>%s</color>为好友。,
60096,BLACKLIST_REMOVE_QUEST,确认将<color=yellow>%s</color>从黑名单中移除？,
60097,BLACKLIST_REMOVE_NOTE,已将<color=yellow>%s</color>从黑名单中移除。,
60098,LOGIN_IN_OTHER_PLACE,账号已在其余地方登录,
60099,KICK_BY_SERVER,与服务器断开连接，请重新登录,
60100,RECONNECT_TOO_LONG,重连超时，请重启登录,
60101,CONNECT_DATA_ERROR,玩家数据错误，请重新登录,
60102,CS_INDEX_ERROR,协议序号错误，重新登录,
60103,CANNOT_CONNECT_CHAT,无法连接到聊天服务器,
60104,NOT_FRIEND,该玩家不是你的好友,
